timestamp,packet_size,src_ip,dst_ip,protocol,src_port,dst_port,time_sec,packets_per_sec
1721899983.490697,74,10.0.0.1,10.0.0.2,TCP,1935,35012,1721899983,30
1721899983.509454,66,10.0.0.1,10.0.0.2,TCP,1935,35012,1721899983,30
1721899983.509455,66,10.0.0.1,10.0.0.2,TCP,1935,35012,1721899983,30
1721899983.509458,1514,10.0.0.1,10.0.0.2,TCP,1935,35012,1721899983,30
1721899983.509458,155,10.0.0.1,10.0.0.2,TCP,1935,35012,1721899983,30
1721899983.512719,1514,10.0.0.1,10.0.0.2,TCP,1935,35012,1721899983,30
1721899983.519717,154,10.0.0.1,10.0.0.2,RTMPT,1935,35012,1721899983,30
1721899983.533243,66,10.0.0.1,10.0.0.2,TCP,1935,35012,1721899983,30
1721899983.547394,66,10.0.0.1,10.0.0.2,TCP,1935,35012,1721899983,30
1721899983.547395,82,10.0.0.1,10.0.0.2,RTMPT,1935,35012,1721899983,30
1721899983.565492,301,10.0.0.1,10.0.0.2,RTMPT,1935,35012,1721899983,30
1721899983.585343,66,10.0.0.1,10.0.0.2,TCP,1935,35012,1721899983,30
1721899983.605227,66,10.0.0.1,10.0.0.2,TCP,1935,35012,1721899983,30
1721899983.605227,107,10.0.0.1,10.0.0.2,RTMPT,1935,35012,1721899983,30
1721899983.620269,66,10.0.0.1,10.0.0.2,TCP,1935,35012,1721899983,30
1721899983.633892,66,10.0.0.1,10.0.0.2,TCP,1935,35012,1721899983,30
1721899983.634026,84,10.0.0.1,10.0.0.2,RTMPT,1935,35012,1721899983,30
1721899983.694618,1382,10.0.0.1,10.0.0.2,RTMPT,1935,35012,1721899983,30
1721899983.704547,1514,10.0.0.1,10.0.0.2,RTMPT,1935,35012,1721899983,30
1721899983.711659,85,10.0.0.1,10.0.0.2,RTMPT,1935,35012,1721899983,30
1721899983.780304,780,10.0.0.1,10.0.0.2,RTMPT,1935,35012,1721899983,30
1721899983.780304,1514,10.0.0.1,10.0.0.2,RTMPT,1935,35012,1721899983,30
1721899983.790566,836,10.0.0.1,10.0.0.2,RTMPT,1935,35012,1721899983,30
1721899983.818814,772,10.0.0.1,10.0.0.2,RTMPT,1935,35012,1721899983,30
1721899983.835252,771,10.0.0.1,10.0.0.2,RTMPT,1935,35012,1721899983,30
1721899983.856532,807,10.0.0.1,10.0.0.2,RTMPT,1935,35012,1721899983,30
1721899983.878866,801,10.0.0.1,10.0.0.2,RTMPT,1935,35012,1721899983,30
1721899983.901486,782,10.0.0.1,10.0.0.2,RTMPT,1935,35012,1721899983,30
1721899983.940591,771,10.0.0.1,10.0.0.2,RTMPT,1935,35012,1721899983,30
1721899983.958654,761,10.0.0.1,10.0.0.2,RTMPT,1935,35012,1721899983,30
1721899984.0299,802,10.0.0.1,10.0.0.2,RTMPT,1935,35012,1721899984,27
1721899984.043324,1365,10.0.0.1,10.0.0.2,RTMPT,1935,35012,1721899984,27
1721899984.082734,361,10.0.0.1,10.0.0.2,RTMPT,1935,35012,1721899984,27
1721899984.099134,673,10.0.0.1,10.0.0.2,RTMPT,1935,35012,1721899984,27
1721899984.122475,342,10.0.0.1,10.0.0.2,RTMPT,1935,35012,1721899984,27
1721899984.156476,326,10.0.0.1,10.0.0.2,RTMPT,1935,35012,1721899984,27
1721899984.172206,302,10.0.0.1,10.0.0.2,RTMPT,1935,35012,1721899984,27
1721899984.282312,302,10.0.0.1,10.0.0.2,RTMPT,1935,35012,1721899984,27
1721899984.362747,1170,10.0.0.1,10.0.0.2,RTMPT,1935,35012,1721899984,27
1721899984.423636,714,10.0.0.1,10.0.0.2,RTMPT,1935,35012,1721899984,27
1721899984.435476,448,10.0.0.1,10.0.0.2,RTMPT,1935,35012,1721899984,27
1721899984.448849,290,10.0.0.1,10.0.0.2,RTMPT,1935,35012,1721899984,27
1721899984.476432,283,10.0.0.1,10.0.0.2,RTMPT,1935,35012,1721899984,27
1721899984.487889,301,10.0.0.1,10.0.0.2,RTMPT,1935,35012,1721899984,27
1721899984.500521,283,10.0.0.1,10.0.0.2,RTMPT,1935,35012,1721899984,27
1721899984.53017,272,10.0.0.1,10.0.0.2,RTMPT,1935,35012,1721899984,27
1721899984.580659,287,10.0.0.1,10.0.0.2,RTMPT,1935,35012,1721899984,27
1721899984.593477,275,10.0.0.1,10.0.0.2,RTMPT,1935,35012,1721899984,27
1721899984.60587,281,10.0.0.1,10.0.0.2,RTMPT,1935,35012,1721899984,27
1721899984.617354,284,10.0.0.1,10.0.0.2,RTMPT,1935,35012,1721899984,27
1721899984.65128,281,10.0.0.1,10.0.0.2,RTMPT,1935,35012,1721899984,27
1721899984.726966,281,10.0.0.1,10.0.0.2,RTMPT,1935,35012,1721899984,27
1721899984.749813,700,10.0.0.1,10.0.0.2,RTMPT,1935,35012,1721899984,27
1721899984.81168,266,10.0.0.1,10.0.0.2,RTMPT,1935,35012,1721899984,27
1721899984.934227,693,10.0.0.1,10.0.0.2,RTMPT,1935,35012,1721899984,27
1721899984.980698,1140,10.0.0.1,10.0.0.2,RTMPT,1935,35012,1721899984,27
1721899984.993602,481,10.0.0.1,10.0.0.2,RTMPT,1935,35012,1721899984,27
1721899985.024828,282,10.0.0.1,10.0.0.2,RTMPT,1935,35012,1721899985,34
1721899985.046973,278,10.0.0.1,10.0.0.2,RTMPT,1935,35012,1721899985,34
1721899985.068025,249,10.0.0.1,10.0.0.2,RTMPT,1935,35012,1721899985,34
1721899985.157066,286,10.0.0.1,10.0.0.2,RTMPT,1935,35012,1721899985,34
1721899985.209208,726,10.0.0.1,10.0.0.2,RTMPT,1935,35012,1721899985,34
1721899985.222724,436,10.0.0.1,10.0.0.2,RTMPT,1935,35012,1721899985,34
1721899985.245675,266,10.0.0.1,10.0.0.2,RTMPT,1935,35012,1721899985,34
1721899985.257626,297,10.0.0.1,10.0.0.2,RTMPT,1935,35012,1721899985,34
1721899985.287693,289,10.0.0.1,10.0.0.2,RTMPT,1935,35012,1721899985,34
1721899985.432609,288,10.0.0.1,10.0.0.2,RTMPT,1935,35012,1721899985,34
1721899985.443847,1158,10.0.0.1,10.0.0.2,RTMPT,1935,35012,1721899985,34
1721899985.455926,477,10.0.0.1,10.0.0.2,RTMPT,1935,35012,1721899985,34
1721899985.483146,254,10.0.0.1,10.0.0.2,RTMPT,1935,35012,1721899985,34
1721899985.494405,282,10.0.0.1,10.0.0.2,RTMPT,1935,35012,1721899985,34
1721899985.529293,288,10.0.0.1,10.0.0.2,RTMPT,1935,35012,1721899985,34
1721899985.543585,283,10.0.0.1,10.0.0.2,RTMPT,1935,35012,1721899985,34
1721899985.565745,281,10.0.0.1,10.0.0.2,RTMPT,1935,35012,1721899985,34
1721899985.615804,266,10.0.0.1,10.0.0.2,RTMPT,1935,35012,1721899985,34
1721899985.657183,294,10.0.0.1,10.0.0.2,RTMPT,1935,35012,1721899985,34
1721899985.669161,505,10.0.0.1,10.0.0.2,RTMPT,1935,35012,1721899985,34
1721899985.697368,285,10.0.0.1,10.0.0.2,RTMPT,1935,35012,1721899985,34
1721899985.710407,252,10.0.0.1,10.0.0.2,RTMPT,1935,35012,1721899985,34
1721899985.741207,281,10.0.0.1,10.0.0.2,RTMPT,1935,35012,1721899985,34
1721899985.783046,296,10.0.0.1,10.0.0.2,RTMPT,1935,35012,1721899985,34
1721899985.803458,288,10.0.0.1,10.0.0.2,RTMPT,1935,35012,1721899985,34
1721899985.829325,275,10.0.0.1,10.0.0.2,RTMPT,1935,35012,1721899985,34
1721899985.842604,279,10.0.0.1,10.0.0.2,RTMPT,1935,35012,1721899985,34
1721899985.868703,279,10.0.0.1,10.0.0.2,RTMPT,1935,35012,1721899985,34
1721899985.886622,285,10.0.0.1,10.0.0.2,RTMPT,1935,35012,1721899985,34
1721899985.904397,286,10.0.0.1,10.0.0.2,RTMPT,1935,35012,1721899985,34
1721899985.918099,268,10.0.0.1,10.0.0.2,RTMPT,1935,35012,1721899985,34
1721899985.942606,255,10.0.0.1,10.0.0.2,RTMPT,1935,35012,1721899985,34
1721899985.980818,270,10.0.0.1,10.0.0.2,RTMPT,1935,35012,1721899985,34
1721899985.994156,287,10.0.0.1,10.0.0.2,RTMPT,1935,35012,1721899985,34
1721899986.02706,277,10.0.0.1,10.0.0.2,RTMPT,1935,35012,1721899986,38
1721899986.038547,253,10.0.0.1,10.0.0.2,RTMPT,1935,35012,1721899986,38
1721899986.067616,278,10.0.0.1,10.0.0.2,RTMPT,1935,35012,1721899986,38
1721899986.08212,284,10.0.0.1,10.0.0.2,RTMPT,1935,35012,1721899986,38
1721899986.11074,291,10.0.0.1,10.0.0.2,RTMPT,1935,35012,1721899986,38
